
REGIÃO EXTREMO OESTE
Anchieta 
Bandeirante
Barra Bonita
Belmonte
Bom Jesus do Oeste
Descanso
Dionísio Cerqueira
Flor do Sertão
Guaraciaba
Guarujá do Sul
Iporã do Oeste
Iraceminha
Itapiranga
Maravilha
Modelo
Mondaí
Palma Sola
Paraíso
Princesa
Romelândia
Saltinho
Santa Helena
Santa Terezinha do Progresso
São João do Oeste
São José do Cedro
São Miguel da Boa Vista
São Miguel do Oeste
Saudades
Tigrinhos
Tunápolis
REGIÃO XANXERÊ
Abelardo Luz
Bom Jesus
Campo Erê
Coronel Martins
Entre Rios
Faxinal dos Guedes
Galvão
Ipuaçu
Jupiá
Lajeado Grande
Marema
Novo Horizonte
Ouro Verde
Passos Maia
Ponte Serrada
São Bernardino
São Domingos
São Lourenço do Oeste
Vargeão
Xanxerê
Xaxim
REGIÃO OESTE
Águas de Chapecó
Águas Frias
Arvoredo
Caibi
Caxambu do Sul
Chapecó
Cordilheira Alta
Coronel Freitas
Cunha Porã
Cunhataí
Formosa do Sul
Guatambú
Irati
Jardinópolis
Nova Erechim
Nova Itaberaba
Paial
Palmitos
Pinhalzinho
Planalto Alegre
Quilombo
Riqueza
Santiago do Sul
São Carlos
Serra Alta
Sul Brasil
União do Oeste
REGIÃO  ALTO URUGUAI CATARINENSE
Alto Bela Vista
Arabutã
Concórdia 
Ipira
Ipumirim
Irani
Itá 
Lindóia do Sul 
Peritiba 
Piratuba
Presidente Castello Branco 
Seara
Xavantina
REGIÃO  MEIO OESTE
Abdon Batista
Água Doce 
Brunópolis
Campos Novos
Capinzal 
Catanduvas
Celso Ramos
Erval Velho
Herval d’Oeste
Ibicaré
Jaborá
Joaçaba
Lacerdópolis
Luzerna
Monte Carlo
Ouro
Treze Tílias
Vargem
Vargem Bonita
Zortéa
REGIÃO  ALTO VALE DO RIO DO PEIXE
Arroio Trinta
Caçador 
Calmon
Curitibanos
Fraiburgo 
Frei Rogério
Ibiam
Iomerê 
Lebon Régis
Macieira
Matos Costa
Pinheiro Preto 
Ponte Alta do Norte 
Rio das Antas 
Salto Veloso
Santa Cecília
São Cristóvão do Sul 
Tangará 
Timbó Grande
Videira 
REGIÃO  SERRA CATARINENSE
Anita Garibaldi 
Bocaina do Sul 
Bom Jardim da Serra
Bom Retiro
Capão Alto
Campo Belo do Sul 
Cerro Negro
Correia Pinto
Lages
Otacílio Costa
Painel
Palmeira
Ponte Alta
Rio Rufino 
São Joaquim
São José do Cerrito
Urubici
Urupema 
REGIÃO  FOZ DO RIO ITAJAÍ
Balneário Camboriú
Bombinhas 
Camboriú 
Ilhota 
Itajaí 
Itapema 
Luiz Alves
Navegantes 
Penha
Balneário Piçarras 
Porto Belo 
REGIÃO  ALTO VALE DO ITAJAÍ
Agrolândia
Agronômica 
Atalanta
Aurora
Braço do Trombudo 
Chapadão do Lageado
Dona Emma 
Ibirama
Imbuia
Ituporanga
José Boiteux 
Laurentino
Lontras 
Mirim Doce 
Petrolândia 
Pouso Redondo 
Presidente Getúlio 
Presidente Nereu 
Rio do Campo 
Rio do Oeste
Rio do Sul
Salete
Santa Terezinha 
Taió 
Trombudo Central 
Vidal Ramos 
Vitor Meireles 
Witmarsum 
REGIÃO  MÉDIO VALE DO ITAJAÍ
Apiúna 
Ascurra 
Benedito Novo 
Blumenau 
Botuverá
Brusque 
Doutor Pedrinho
Gaspar
Guabiruba
Indaial
Pomerode
Rio dos Cedros
Rodeio
Timbó 
REGIÃO  GRANDE FLORIANÓPOLIS
Águas Mornas 
Alfredo Wagner 
Angelina
Anitápolis 
Antônio Carlos
Biguaçu 
Canelinha 
Florianópolis
Garopaba 
Governador Celso Ramos 
Leoberto Leal 
Major Gercino 
Nova Trento 
Palhoça 
Paulo Lopes 
Rancho Queimado 
Santo Amaro da Imperatriz 
São Bonifácio 
São João Batista
São José
São Pedro de Alcântara 
Tijucas 
REGIÃO  LAGUNA
Armazém 
Braço do Norte
Capivari de Baixo 
Grão-Pará 
Gravatal
Imaruí 
Imbituba
Jaguaruna
Laguna 
Pedras Grandes 
Pescaria Brava
Rio Fortuna
Sangão
Santa Rosa de Lima
São Ludgero
São Martinho
Treze de Maio
Tubarão
REGIÃO CARBONÍFERA
Cocal do Sul
Criciúma
Forquilhinha
Içara
Lauro Müller
Morro da Fumaça
Nova Veneza
Orleans
Siderópolis
Treviso
Urussanga
Balneário Rincão
REGIÃO  EXTREMO SUL CATARINENSE
Araranguá
Balneário Arroio do Silva
Balneário Gaivota
Ermo
Jacinto Machado
Maracajá
Meleiro
Morro Grande
Passo de Torres
Praia Grande
Santa Rosa do Sul
São João do Sul
Sombrio
Timbé do Sul
Turvo
REGIÃO  PLANALTO NORTE
Bela Vista do Toldo
Campo Alegre
Canoinhas
Irineópolis
Itaiópolis
Mafra
Major Vieira
Monte Castelo
Papanduva
Porto União
Rio Negrinho
São Bento do Sul
Três Barras
REGIÃO  NORDESTE
Araquari
Balneário Barra do Sul
Garuva
Itapoá
Joinville
São Francisco do Sul
REGIÃO  VALE DO ITAPOCU
Barra Velha
Corupá
Guaramirim
Jaraguá do Sul
Massaranduba
São João do Itaperiú
Schroeder
