Semana,MUNICIPIO,GFS,MERGE,REGIAO
2025-02-23,VIDAL RAMOS,"1,98",5,ALTO VALE DO ITAJAI
2025-03-02,VIDAL RAMOS,"1,34","0,14",ALTO VALE DO ITAJAI
2025-02-23,VITOR MEIRELES,"3,27",2,ALTO VALE DO ITAJAI
2025-03-02,VITOR MEIRELES,"2,38","0,22",ALTO VALE DO ITAJAI
2025-02-23,WITMARSUM,"3,27",2,ALTO VALE DO ITAJAI
2025-03-02,WITMARSUM,"2,38","0,22",ALTO VALE DO ITAJAI
2025-02-23,ARROIO TRINTA,"3,67","8,94",ALTO VALE DO RIO DO PEIXE
2025-03-02,ARROIO TRINTA,"1,90","11,70",ALTO VALE DO RIO DO PEIXE
2025-02-23,CAÇADOR,"3,67","3,5",ALTO VALE DO RIO DO PEIXE
2025-03-02,CAÇADOR,"1,90","0,32",ALTO VALE DO RIO DO PEIXE
2025-02-23,CALMON,"3,67","3,5",ALTO VALE DO RIO DO PEIXE
2025-03-02,CALMON,"1,90","0,32",ALTO VALE DO RIO DO PEIXE
2025-02-23,CURITIBANOS,"4,13","6,55",ALTO VALE DO RIO DO PEIXE
2025-03-02,CURITIBANOS,"0,94","0,04",ALTO VALE DO RIO DO PEIXE
2025-02-23,FRAIBURGO,"4,13",2,ALTO VALE DO RIO DO PEIXE
2025-03-02,FRAIBURGO,"0,94","0,04",ALTO VALE DO RIO DO PEIXE
2025-02-23,FREI ROGERIO,"4,13",2,ALTO VALE DO RIO DO PEIXE
2025-03-02,FREI ROGERIO,"0,94","0,04",ALTO VALE DO RIO DO PEIXE
2025-02-23,IBIAM,"4,13","3,84",ALTO VALE DO RIO DO PEIXE
2025-03-02,IBIAM,"0,94","6,80",ALTO VALE DO RIO DO PEIXE
2025-02-23,IOMERE,"3,67","5,96",ALTO VALE DO RIO DO PEIXE
2025-03-02,IOMERE,"1,90","2,92",ALTO VALE DO RIO DO PEIXE
2025-02-23,LEBON REGIS,"3,67","8,97",ALTO VALE DO RIO DO PEIXE
2025-03-02,LEBON REGIS,"1,90","0,32",ALTO VALE DO RIO DO PEIXE
2025-02-23,MACIEIRA,"3,67","8,94",ALTO VALE DO RIO DO PEIXE
2025-03-02,MACIEIRA,"1,90","2,92",ALTO VALE DO RIO DO PEIXE
2025-02-23,MATOS COSTA,"3,67","5,96",ALTO VALE DO RIO DO PEIXE
2025-03-02,MATOS COSTA,"1,90","2,92",ALTO VALE DO RIO DO PEIXE
2025-02-23,PINHEIRO PRETO,"4,13","3,84",ALTO VALE DO RIO DO PEIXE
2025-03-02,PINHEIRO PRETO,"0,94","6,80",ALTO VALE DO RIO DO PEIXE
2025-02-23,PONTE ALTA DO NORTE,"4,13","6,55",ALTO VALE DO RIO DO PEIXE
2025-03-02,PONTE ALTA DO NORTE,"0,94","0,04",ALTO VALE DO RIO DO PEIXE
2025-02-23,RIO DAS ANTAS,"3,67","3,84",ALTO VALE DO RIO DO PEIXE
2025-03-02,RIO DAS ANTAS,"1,90","0,32",ALTO VALE DO RIO DO PEIXE
2025-02-23,SALTO VELOSO,"4,03","5,96",ALTO VALE DO RIO DO PEIXE
2025-03-02,SALTO VELOSO,"3,03","2,92",ALTO VALE DO RIO DO PEIXE
2025-02-23,SANTA CECILIA,"3,67","8,97",ALTO VALE DO RIO DO PEIXE
2025-03-02,SANTA CECILIA,"1,90","0,32",ALTO VALE DO RIO DO PEIXE
2025-02-23,SAO CRISTOVAO DO SUL,"3,54","6,55",ALTO VALE DO RIO DO PEIXE
2025-03-02,SAO CRISTOVAO DO SUL,"1,17","0,04",ALTO VALE DO RIO DO PEIXE
2025-02-23,TANGARA,"4,13","3,84",ALTO VALE DO RIO DO PEIXE
2025-03-02,TANGARA,"0,94","6,80",ALTO VALE DO RIO DO PEIXE
2025-02-23,TIMBO GRANDE,"3,67","8,97",ALTO VALE DO RIO DO PEIXE
2025-03-02,TIMBO GRANDE,"1,90","0,32",ALTO VALE DO RIO DO PEIXE
2025-02-23,VIDEIRA,"4,13","3,84",ALTO VALE DO RIO DO PEIXE
2025-03-02,VIDEIRA,"0,94","6,80",ALTO VALE DO RIO DO PEIXE
2025-02-23,COCAL DO SUL,"0,69","6,96",CARBONIFERA
2025-03-02,COCAL DO SUL,"1,42","0,36",CARBONIFERA
2025-02-23,CRICIUMA,"2,06","6,96",CARBONIFERA
2025-03-02,CRICIUMA,"1,10","0,36",CARBONIFERA
2025-02-23,FORQUILHINHA,"2,06","6,96",CARBONIFERA
2025-03-02,FORQUILHINHA,"1,10","0,36",CARBONIFERA
2025-02-23,IÇARA,"0,69","6,96",CARBONIFERA
2025-03-02,IÇARA,"1,42","0,36",CARBONIFERA
2025-02-23,LAURO MULLER,"2,06","6,96",CARBONIFERA
2025-03-02,LAURO MULLER,"1,10","0,36",CARBONIFERA
2025-02-23,MORRO DA FUMAÇA,"0,69","6,96",CARBONIFERA
2025-03-02,MORRO DA FUMAÇA,"1,42","0,36",CARBONIFERA
2025-02-23,NOVA VENEZA,"2,06","6,96",CARBONIFERA
2025-03-02,NOVA VENEZA,"1,10","0,36",CARBONIFERA
2025-02-23,ORLEANS,"2,06","6,96",CARBONIFERA
2025-03-02,ORLEANS,"1,10","0,36",CARBONIFERA
2025-02-23,SIDEROPOLIS,"2,06","6,96",CARBONIFERA
2025-03-02,SIDEROPOLIS,"1,10","0,36",CARBONIFERA
2025-02-23,TREVISO,"2,06","6,96",CARBONIFERA
2025-03-02,TREVISO,"1,10","0,36",CARBONIFERA
2025-02-23,URUSSANGA,"0,69","6,96",CARBONIFERA
2025-03-02,URUSSANGA,"1,42","0,36",CARBONIFERA
2025-02-23,BALNEARIO RINCAO,"0,69","6,96",CARBONIFERA
2025-03-02,BALNEARIO RINCAO,"1,42","0,36",CARBONIFERA
2025-02-23,ANCHIETA,"4,41","2,57",EXTREMO OESTE
2025-03-02,ANCHIETA,"3,43","1,53",EXTREMO OESTE
2025-02-23,BANDEIRANTE,"2,22","2,57",EXTREMO OESTE
2025-03-02,BANDEIRANTE,"2,57","1,53",EXTREMO OESTE
2025-02-23,BARRA BONITA,"2,22","2,57",EXTREMO OESTE
2025-03-02,BARRA BONITA,"2,57","1,53",EXTREMO OESTE
2025-02-23,BELMONTE,"2,22","2,57",EXTREMO OESTE
2025-03-02,BELMONTE,"2,57","1,53",EXTREMO OESTE
2025-02-23,BOM JESUS DO OESTE,"4,41","4,20",EXTREMO OESTE
2025-03-02,BOM JESUS DO OESTE,"3,43","1,52",EXTREMO OESTE
2025-02-23,DESCANSO,"2,22","2,57",EXTREMO OESTE
2025-03-02,DESCANSO,"2,57","1,53",EXTREMO OESTE
2025-02-23,DIONISIO CERQUEIRA,"2,22","2,57",EXTREMO OESTE
2025-03-02,DIONISIO CERQUEIRA,"2,57","1,53",EXTREMO OESTE
2025-02-23,FLOR DO SERTAO,"4,41","2,57",EXTREMO OESTE
2025-03-02,FLOR DO SERTAO,"3,43","1,53",EXTREMO OESTE
2025-02-23,GUARACIABA,"2,22","2,57",EXTREMO OESTE
2025-03-02,GUARACIABA,"2,57","1,53",EXTREMO OESTE
2025-02-23,GUARUJA DO SUL,"2,22","2,57",EXTREMO OESTE
2025-03-02,GUARUJA DO SUL,"2,57","1,53",EXTREMO OESTE
2025-02-23,IPORA DO OESTE,"2,38","6,43",EXTREMO OESTE
2025-03-02,IPORA DO OESTE,"0,99","1,16",EXTREMO OESTE
2025-02-23,IRACEMINHA,"4,41","2,57",EXTREMO OESTE
2025-03-02,IRACEMINHA,"3,43","1,53",EXTREMO OESTE
2025-02-23,ITAPIRANGA,"2,38","6,43",EXTREMO OESTE
2025-03-02,ITAPIRANGA,"0,99","1,16",EXTREMO OESTE
2025-02-23,MARAVILHA,"4,41","2,57",EXTREMO OESTE
2025-03-02,MARAVILHA,"3,43","1,53",EXTREMO OESTE
2025-02-23,MODELO,"4,41","4,20",EXTREMO OESTE
2025-03-02,MODELO,"3,43","1,52",EXTREMO OESTE
2025-02-23,MONDAI,"2,38","6,43",EXTREMO OESTE
2025-03-02,MONDAI,"0,99","1,16",EXTREMO OESTE
2025-02-23,PALMA SOLA,"4,41","2,57",EXTREMO OESTE
2025-03-02,PALMA SOLA,"3,43","1,53",EXTREMO OESTE
2025-02-23,PARAISO,"2,22","2,57",EXTREMO OESTE
2025-03-02,PARAISO,"2,57","1,53",EXTREMO OESTE
2025-02-23,PRINCESA,"2,22","2,57",EXTREMO OESTE
2025-03-02,PRINCESA,"2,57","1,53",EXTREMO OESTE
2025-02-23,ROMELANDIA,"4,41","2,57",EXTREMO OESTE
2025-03-02,ROMELANDIA,"3,43","1,53",EXTREMO OESTE
2025-02-23,SALTINHO,"4,41","4,20",EXTREMO OESTE
2025-03-02,SALTINHO,"3,43","1,52",EXTREMO OESTE
2025-02-23,SANTA HELENA,"2,22","2,57",EXTREMO OESTE
2025-03-02,SANTA HELENA,"2,57","1,53",EXTREMO OESTE
2025-02-23,SANTA TEREZINHA DO PROGRESSO,"4,41","2,57",EXTREMO OESTE
2025-03-02,SANTA TEREZINHA DO PROGRESSO,"3,43","1,53",EXTREMO OESTE
2025-02-23,SAO JOAO DO OESTE,"2,38","6,43",EXTREMO OESTE
2025-03-02,SAO JOAO DO OESTE,"0,99","1,16",EXTREMO OESTE
2025-02-23,SAO JOSE DO CEDRO,"2,22","2,57",EXTREMO OESTE
2025-03-02,SAO JOSE DO CEDRO,"2,57","1,53",EXTREMO OESTE
2025-02-23,SAO MIGUEL DA BOA VISTA,"4,41","2,57",EXTREMO OESTE
2025-03-02,SAO MIGUEL DA BOA VISTA,"3,43","1,53",EXTREMO OESTE
2025-02-23,SAO MIGUEL DO OESTE,"2,22","2,57",EXTREMO OESTE
2025-03-02,SAO MIGUEL DO OESTE,"2,57","1,53",EXTREMO OESTE
2025-02-23,SAUDADES,"4,41","4,20",EXTREMO OESTE
2025-03-02,SAUDADES,"3,43","1,52",EXTREMO OESTE
2025-02-23,TIGRINHOS,"4,41","2,57",EXTREMO OESTE
2025-03-02,TIGRINHOS,"3,43","1,53",EXTREMO OESTE
2025-02-23,TUNAPOLIS,"2,22","2,57",EXTREMO OESTE
